K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
219742197	K2EVEREST219742197-C07	7	STAR	19 15 54.526	-15 56 44.75	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			16.355	0.109	18.672	JHK					19155452-1556447	ABC-222-111-000-0-0	10	4	32	23.225
219749357	K2EVEREST219749357-C07	7	STAR	19 17 19.187	-15 55 29.98	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.128	0.020	11.517	0.024	13.123	gri				371-165619	19171918-1555299	AAA-222-111-000-0-0	10	4	32	23.264
219755806	K2EVEREST219755806-C07	7	STAR	19 16 17.623	-15 54 21.84	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			14.931	0.035	16.346	J					19161762-1554218	AAA-222-111-000-0-0	10	4	32	23.362
219511354	K2EVEREST219511354-C07	7	STAR	19 15 35.330	-16 34 11.78	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030_GO7035_GO7056	12.826	0.310	11.145	0.024	12.812	gri				368-169705	19153533-1634117	AAA-222-111-000-0-0	10	4	32	23.494
219512982	K2EVEREST219512982-C07	7	STAR	19 17 50.255	-16 33 56.49	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			15.031	0.038	16.454	J					19175025-1633564	AAA-222-111-000-0-0	10	4	32	23.571
219538323	K2EVEREST219538323-C07	7	STAR	19 18 03.823	-16 30 03.19	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			15.015	0.040	17.204	JHK					19180382-1630031	AAA-222-111-000-0-0	10	4	32	23.580
219517815	K2EVEREST219517815-C07	7	STAR	19 15 30.013	-16 33 12.88	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.569	0.020	11.839	0.024	13.571	gri				368-169661	19153001-1633128	AAA-222-111-000-0-0	10	4	32	23.697
219522018	K2EVEREST219522018-C07	7	STAR	19 15 27.432	-16 32 33.37	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			14.782	0.039	17.260	JHK					19152743-1632333	AAA-222-111-000-0-0	10	4	32	23.714
219495504	K2EVEREST219495504-C07	7	STAR	19 17 39.314	-16 36 34.85	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7016_GO7030_GO7035_GO7056_GO7086	10.071	0.020	9.003	0.037	10.115	gri		6296-1976-1		367-163134	19173931-1636348	AAA-112-111-000-0-0	10	4	32	23.939
219611545	K2EVEREST219611545-C07	7	STAR	19 18 21.902	-16 18 27.35	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035_GO7084	12.847	0.020	11.024	0.022	12.877	gri				369-166413	19182190-1618273	AAA-222-111-000-0-0	10	4	32	24.017
